ST,STATE,AVG,MAX,MIN
AL,Alabama,62.6,74.4,50.9
AZ,Arizona,60.5,74.7,46.3
AR,Arkansas,60.9,72.2,49.7
CA,California,58.3,70.7,45.9
CO,Colorado,46.4,60.2,32.6
CT,Connecticut,48.7,58.8,38.6
DE,Delaware,55.2,65.3,45.2
FL,Florida,69.7,80.7,58.6
GA,Georgia,63.1,75.2,51.1
ID,Idaho,43.7,55.3,32.2
IL,Illinois,52.0,62.2,41.8
IN,Indiana,51.6,61.9,41.3
IA,Iowa,48.5,59.3,37.8
KS,Kansas,55.3,67.8,42.8
KY,Kentucky,55.2,66.2,44.2
LA,Louisiana,66.1,76.8,55.4
ME,Maine,40.8,50.7,31.0
MD,Maryland,54.5,64.7,44.2
MA,Massachusetts,47.7,57.7,37.7
MI,Michigan,44.6,54.7,34.5
MN,Minnesota,41.5,52.0,31.0
MS,Mississippi,63.5,74.9,52.0
MO,Missouri,55.2,65.8,44.5
MT,Montana,41.4,53.3,29.4
NE,Nebraska,49.5,61.9,37.1
NV,Nevada,50.8,64.3,37.2
NH,New Hampshire,43.2,53.8,32.6
NJ,New Jersey,52.4,62.6,42.3
NM,New Mexico,54.0,69.0,38.9
NY,New York,45.0,54.7,35.3
NC,North Carolina,58.7,70.1,47.4
ND,North Dakota,40.9,52.4,29.5
OH,Ohio,50.6,61.0,40.2
OK,Oklahoma,60.6,72.7,48.4
OR,Oregon,47.6,58.6,36.7
PA,Pennsylvania,48.5,58.8,38.2
RI,Rhode Island,49.6,58.8,40.3
SC,South Carolina,62.5,74.3,50.7
SD,South Dakota,45.2,57.1,33.4
TN,Tennessee,57.6,69.0,46.1
TX,Texas,65.2,77.8,52.7
UT,Utah,49.4,62.3,36.4
VT,Vermont,42.3,52.5,32.1
VA,Virginia,55.2,66.4,44.0
WA,Washington,46.7,56.4,36.9
WV,West Virginia,51.3,62.5,40.2
WI,Wisconsin,43.5,54.0,33.0
WY,Wyoming,42.1,55.1,29.0
