ST,STATE,AVG,MAX,MIN
AL,Alabama,63.3,74.6,52.0
AZ,Arizona,58.9,72.2,45.5
AR,Arkansas,60.2,70.8,49.6
CA,California,56.7,68.2,45.1
CO,Colorado,44.4,57.5,31.3
CT,Connecticut,48.7,59.1,38.2
DE,Delaware,54.6,64.6,44.7
FL,Florida,71.3,81.5,61.1
GA,Georgia,63.8,74.9,52.8
ID,Idaho,41.7,52.4,30.9
IL,Illinois,51.7,61.4,41.9
IN,Indiana,51.6,61.6,41.6
IA,Iowa,47.4,57.2,37.7
KS,Kansas,53.6,65.6,41.5
KY,Kentucky,55.7,66.5,44.9
LA,Louisiana,66.5,76.9,56.1
ME,Maine,40.9,51.4,30.3
MD,Maryland,54.3,64.3,44.2
MA,Massachusetts,47.6,57.9,37.2
MI,Michigan,44.2,53.9,34.4
MN,Minnesota,40.6,50.6,30.6
MS,Mississippi,63.7,74.6,52.7
MO,Missouri,54.3,64.9,43.7
MT,Montana,40.5,52.0,29.1
NE,Nebraska,48.1,60.0,36.2
NV,Nevada,48.6,60.8,36.3
NH,New Hampshire,43.0,54.2,31.8
NJ,New Jersey,52.2,62.3,42.0
NM,New Mexico,52.5,66.7,38.3
NY,New York,45.2,55.5,34.9
NC,North Carolina,58.8,69.5,48.2
ND,North Dakota,40.0,51.0,29.1
OH,Ohio,51.1,61.3,40.8
OK,Oklahoma,59.2,70.9,47.5
OR,Oregon,46.0,56.5,35.4
PA,Pennsylvania,48.7,59.1,38.3
RI,Rhode Island,49.3,58.8,39.9
SC,South Carolina,62.7,73.6,51.9
SD,South Dakota,44.8,56.3,33.2
TN,Tennessee,57.9,68.8,47.0
TX,Texas,64.5,76.3,52.6
UT,Utah,46.8,58.5,35.1
VT,Vermont,42.3,53.4,31.2
VA,Virginia,55.2,65.9,44.4
WA,Washington,46.1,55.8,36.5
WV,West Virginia,52.1,63.1,41.0
WI,Wisconsin,42.7,52.7,32.7
WY,Wyoming,40.6,52.7,28.5
