ST,STATE,AVG,MAX,MIN
AL,Alabama,66.1,78.0,54.2
AZ,Arizona,62.2,76.3,48.1
AR,Arkansas,63.3,73.9,52.6
CA,California,59.9,72.3,47.5
CO,Colorado,47.3,61.1,33.4
CT,Connecticut,52.0,62.3,41.7
DE,Delaware,57.8,67.4,48.1
FL,Florida,72.9,83.4,62.5
GA,Georgia,66.5,78.4,54.6
ID,Idaho,44.5,56.3,32.7
IL,Illinois,55.2,64.9,45.5
IN,Indiana,54.8,64.8,44.8
IA,Iowa,51.1,60.9,41.3
KS,Kansas,57.2,70.0,44.4
KY,Kentucky,58.7,69.6,47.7
LA,Louisiana,69.4,79.4,59.4
ME,Maine,43.4,53.5,33.2
MD,Maryland,57.0,66.8,47.2
MA,Massachusetts,50.6,61.0,40.1
MI,Michigan,47.6,57.2,38.0
MN,Minnesota,44.7,54.4,35.1
MS,Mississippi,66.7,78.1,55.3
MO,Missouri,57.8,68.5,47.2
MT,Montana,43.9,56.0,31.9
NE,Nebraska,51.6,64.2,38.9
NV,Nevada,51.8,65.2,38.3
NH,New Hampshire,46.0,57.0,35.0
NJ,New Jersey,55.4,65.5,45.2
NM,New Mexico,55.8,70.7,40.8
NY,New York,48.0,58.3,37.7
NC,North Carolina,61.4,72.2,50.6
ND,North Dakota,44.1,55.1,33.1
OH,Ohio,54.2,64.4,44.0
OK,Oklahoma,62.5,74.9,50.2
OR,Oregon,48.2,59.7,36.8
PA,Pennsylvania,51.5,62.1,40.9
RI,Rhode Island,52.4,62.1,42.8
SC,South Carolina,65.6,76.9,54.3
SD,South Dakota,48.1,60.2,35.9
TN,Tennessee,61.1,72.4,49.9
TX,Texas,67.5,79.5,55.5
UT,Utah,50.2,62.8,37.5
VT,Vermont,45.0,55.6,34.4
VA,Virginia,57.7,68.3,47.1
WA,Washington,47.9,57.4,38.4
WV,West Virginia,55.0,65.9,44.0
WI,Wisconsin,46.5,56.1,36.9
WY,Wyoming,43.4,56.5,30.3
