ST,STATE,AVG,MAX,MIN
AL,Alabama,63.8,74.9,52.8
AZ,Arizona,59.2,73.0,45.3
AR,Arkansas,61.6,72.2,51.0
CA,California,58.1,70.6,45.6
CO,Colorado,45.3,58.9,31.7
CT,Connecticut,51.1,61.6,40.6
DE,Delaware,56.9,67.3,46.6
FL,Florida,71.3,81.6,61.0
GA,Georgia,64.5,75.5,53.4
ID,Idaho,43.7,55.3,32.0
IL,Illinois,54.4,64.4,44.3
IN,Indiana,54.0,64.0,44.0
IA,Iowa,49.7,59.9,39.6
KS,Kansas,56.6,69.2,43.9
KY,Kentucky,57.5,68.2,46.7
LA,Louisiana,67.0,76.8,57.1
ME,Maine,41.9,52.4,31.4
MD,Maryland,56.5,67.2,45.9
MA,Massachusetts,49.7,60.2,39.2
MI,Michigan,46.3,56.2,36.4
MN,Minnesota,42.7,53.0,32.4
MS,Mississippi,64.3,75.0,53.6
MO,Missouri,56.8,67.8,45.8
MT,Montana,44.0,56.1,31.9
NE,Nebraska,51.1,63.7,38.5
NV,Nevada,50.0,63.3,36.7
NH,New Hampshire,44.6,55.8,33.4
NJ,New Jersey,54.5,65.0,43.9
NM,New Mexico,52.4,66.8,38.0
NY,New York,47.2,57.5,36.9
NC,North Carolina,60.2,71.2,49.3
ND,North Dakota,43.4,54.8,32.1
OH,Ohio,53.2,63.5,43.0
OK,Oklahoma,60.8,72.6,49.1
OR,Oregon,47.9,59.1,36.7
PA,Pennsylvania,50.9,61.7,40.1
RI,Rhode Island,51.5,61.4,41.6
SC,South Carolina,63.8,74.8,52.6
SD,South Dakota,47.9,59.9,35.8
TN,Tennessee,59.1,69.9,48.3
TX,Texas,64.9,76.5,53.3
UT,Utah,47.7,60.1,35.2
VT,Vermont,43.6,54.4,32.7
VA,Virginia,57.0,68.3,45.7
WA,Washington,47.6,57.2,38.1
WV,West Virginia,53.8,65.1,42.5
WI,Wisconsin,44.5,54.6,34.4
WY,Wyoming,42.2,54.9,29.5
