ST,STATE,AVG,MAX,MIN
AL,Alabama,62.9,75.1,50.7
AZ,Arizona,60.1,74.5,45.8
AR,Arkansas,60.5,72.6,48.5
CA,California,58.6,71.7,45.5
CO,Colorado,45.6,59.8,31.4
CT,Connecticut,49.0,59.4,38.5
DE,Delaware,54.8,65.2,44.5
FL,Florida,70.5,81.5,59.5
GA,Georgia,63.3,75.5,51.0
ID,Idaho,44.2,56.5,31.7
IL,Illinois,53.1,64.6,41.5
IN,Indiana,52.2,63.6,40.8
IA,Iowa,49.8,61.8,37.8
KS,Kansas,55.6,69.1,42.1
KY,Kentucky,55.6,67.9,43.3
LA,Louisiana,66.5,77.4,55.5
ME,Maine,41.2,51.5,30.8
MD,Maryland,54.4,65.1,43.8
MA,Massachusetts,47.8,58.3,37.4
MI,Michigan,45.2,55.8,34.5
MN,Minnesota,42.4,54.1,30.6
MS,Mississippi,63.6,75.5,51.7
MO,Missouri,55.4,67.8,43.1
MT,Montana,44.4,57.5,31.4
NE,Nebraska,50.7,64.4,37.1
NV,Nevada,50.5,64.5,36.5
NH,New Hampshire,43.2,54.2,32.2
NJ,New Jersey,52.3,62.9,41.8
NM,New Mexico,52.9,68.1,37.7
NY,New York,45.4,55.7,35.0
NC,North Carolina,58.1,69.9,46.3
ND,North Dakota,42.9,55.8,30.0
OH,Ohio,51.2,62.3,40.1
OK,Oklahoma,59.9,72.7,47.1
OR,Oregon,48.0,60.0,36.0
PA,Pennsylvania,48.8,59.7,38.0
RI,Rhode Island,49.6,59.2,40.0
SC,South Carolina,62.0,74.3,49.8
SD,South Dakota,47.6,60.9,34.2
TN,Tennessee,57.6,69.9,45.2
TX,Texas,65.0,78.0,52.0
UT,Utah,48.4,61.5,35.2
VT,Vermont,42.2,53.0,31.4
VA,Virginia,54.8,66.7,42.8
WA,Washington,47.5,57.5,37.6
WV,West Virginia,51.8,63.9,39.6
WI,Wisconsin,44.4,55.8,33.0
WY,Wyoming,43.2,56.8,29.4
