ST,STATE,AVG,MAX,MIN
AL,Alabama,64.0,75.2,52.8
AZ,Arizona,63.4,78.3,48.6
AR,Arkansas,61.7,72.6,50.8
CA,California,60.9,73.4,48.4
CO,Colorado,48.3,62.3,34.2
CT,Connecticut,50.3,60.1,40.5
DE,Delaware,57.0,66.6,47.4
FL,Florida,72.0,82.2,61.8
GA,Georgia,65.0,76.4,53.6
ID,Idaho,45.2,56.7,33.8
IL,Illinois,53.7,64.3,43.1
IN,Indiana,53.2,63.5,42.9
IA,Iowa,49.5,60.0,38.9
KS,Kansas,56.2,69.3,43.2
KY,Kentucky,56.8,67.9,45.8
LA,Louisiana,67.7,77.7,57.7
ME,Maine,41.8,51.9,31.8
MD,Maryland,56.1,66.0,46.2
MA,Massachusetts,49.0,58.8,39.1
MI,Michigan,45.8,55.5,36.2
MN,Minnesota,42.3,52.6,32.1
MS,Mississippi,64.8,75.8,53.8
MO,Missouri,56.5,67.7,45.3
MT,Montana,43.7,55.9,31.5
NE,Nebraska,50.5,63.4,37.7
NV,Nevada,53.0,66.6,39.3
NH,New Hampshire,44.3,54.8,33.8
NJ,New Jersey,54.0,64.0,44.1
NM,New Mexico,56.3,72.0,40.6
NY,New York,46.2,56.1,36.4
NC,North Carolina,60.2,71.2,49.1
ND,North Dakota,42.1,53.8,30.4
OH,Ohio,52.4,62.6,42.2
OK,Oklahoma,61.4,73.7,49.1
OR,Oregon,49.0,60.2,37.8
PA,Pennsylvania,49.9,60.1,39.6
RI,Rhode Island,50.9,60.2,41.7
SC,South Carolina,64.2,75.6,52.8
SD,South Dakota,46.9,59.4,34.4
TN,Tennessee,59.0,70.0,48.0
TX,Texas,66.7,79.2,54.2
UT,Utah,51.3,64.4,38.2
VT,Vermont,43.2,53.5,32.9
VA,Virginia,56.6,67.6,45.6
WA,Washington,47.7,57.2,38.2
WV,West Virginia,53.2,64.2,42.1
WI,Wisconsin,44.3,54.4,34.3
WY,Wyoming,43.8,56.6,31.0
