ST,STATE,AVG,MAX,MIN
AL,Alabama,62.3,73.7,50.9
AZ,Arizona,61.7,75.9,47.5
AR,Arkansas,59.6,70.4,48.8
CA,California,59.5,71.8,47.2
CO,Colorado,45.8,59.6,31.9
CT,Connecticut,48.5,58.2,38.8
DE,Delaware,54.1,63.7,44.6
FL,Florida,70.1,80.9,59.3
GA,Georgia,62.9,74.6,51.3
ID,Idaho,43.2,54.8,31.5
IL,Illinois,49.9,60.0,39.8
IN,Indiana,49.9,59.8,40.0
IA,Iowa,45.1,55.2,35.0
KS,Kansas,53.2,65.8,40.6
KY,Kentucky,54.4,65.2,43.6
LA,Louisiana,66.2,76.5,55.8
ME,Maine,41.0,50.5,31.4
MD,Maryland,53.5,63.1,43.8
MA,Massachusetts,47.4,57.0,37.8
MI,Michigan,42.6,52.2,33.0
MN,Minnesota,37.9,48.1,27.7
MS,Mississippi,63.1,74.2,52.0
MO,Missouri,52.8,63.6,42.0
MT,Montana,39.5,51.3,27.6
NE,Nebraska,46.8,59.0,34.6
NV,Nevada,51.4,64.8,37.9
NH,New Hampshire,43.0,53.1,32.8
NJ,New Jersey,51.6,61.2,42.1
NM,New Mexico,54.4,69.4,39.4
NY,New York,44.6,54.0,35.2
NC,North Carolina,58.0,68.8,47.1
ND,North Dakota,36.6,47.5,25.8
OH,Ohio,49.6,59.4,39.7
OK,Oklahoma,59.1,71.3,46.8
OR,Oregon,47.6,59.0,36.2
PA,Pennsylvania,47.7,57.5,37.9
RI,Rhode Island,49.1,58.1,40.1
SC,South Carolina,62.0,73.5,50.6
SD,South Dakota,41.7,53.0,30.3
TN,Tennessee,56.6,67.6,45.7
TX,Texas,65.4,77.9,52.8
UT,Utah,49.4,62.3,36.5
VT,Vermont,42.1,51.8,32.3
VA,Virginia,54.2,64.8,43.6
WA,Washington,45.7,55.3,36.1
WV,West Virginia,50.8,61.4,40.3
WI,Wisconsin,40.6,50.6,30.6
WY,Wyoming,41.2,54.0,28.3
