ST,STATE,AVG,MAX,MIN
AL,Alabama,62.8,74.9,50.9
AZ,Arizona,59.4,73.2,45.5
AR,Arkansas,60.7,72.3,49.2
CA,California,58.4,70.8,45.9
CO,Colorado,44.8,58.3,31.1
CT,Connecticut,48.6,59.1,38.1
DE,Delaware,54.6,64.9,44.4
FL,Florida,70.0,80.6,59.5
GA,Georgia,63.0,74.8,51.2
ID,Idaho,44.5,57.0,31.9
IL,Illinois,53.8,64.4,43.2
IN,Indiana,53.0,63.6,42.4
IA,Iowa,50.4,61.3,39.6
KS,Kansas,55.0,67.0,42.9
KY,Kentucky,56.3,67.9,44.7
LA,Louisiana,65.8,76.9,54.7
ME,Maine,41.2,51.6,30.7
MD,Maryland,54.4,64.9,43.9
MA,Massachusetts,47.2,57.7,36.7
MI,Michigan,46.5,56.7,36.2
MN,Minnesota,44.3,55.2,33.3
MS,Mississippi,63.3,75.2,51.4
MO,Missouri,56.1,67.3,44.9
MT,Montana,44.0,56.8,31.2
NE,Nebraska,49.8,62.5,37.2
NV,Nevada,50.6,63.7,37.4
NH,New Hampshire,43.0,54.1,31.9
NJ,New Jersey,52.0,62.3,41.7
NM,New Mexico,51.8,66.6,37.1
NY,New York,45.6,55.7,35.5
NC,North Carolina,58.2,69.4,46.9
ND,North Dakota,44.0,55.8,32.3
OH,Ohio,52.0,62.6,41.4
OK,Oklahoma,59.3,71.0,47.7
OR,Oregon,48.4,60.3,36.4
PA,Pennsylvania,48.9,59.5,38.4
RI,Rhode Island,48.9,58.6,39.3
SC,South Carolina,62.0,73.6,50.3
SD,South Dakota,47.5,59.9,35.2
TN,Tennessee,58.1,69.8,46.3
TX,Texas,63.6,75.8,51.3
UT,Utah,48.2,60.6,35.7
VT,Vermont,42.2,53.0,31.3
VA,Virginia,54.9,66.3,43.6
WA,Washington,48.2,58.6,37.8
WV,West Virginia,52.1,63.6,40.6
WI,Wisconsin,45.5,56.1,34.9
WY,Wyoming,42.2,55.4,29.1
