ST,STATE,AVG,MAX,MIN
AL,Alabama,63.4,74.5,52.3
AZ,Arizona,60.5,74.2,46.7
AR,Arkansas,60.8,71.5,50.0
CA,California,57.9,70.1,45.7
CO,Colorado,46.5,60.4,32.7
CT,Connecticut,50.0,60.2,39.8
DE,Delaware,55.9,66.1,45.6
FL,Florida,71.5,81.6,61.5
GA,Georgia,64.0,75.0,53.0
ID,Idaho,44.2,56.2,32.0
IL,Illinois,52.5,62.8,42.1
IN,Indiana,52.1,62.6,41.7
IA,Iowa,48.1,58.6,37.6
KS,Kansas,55.1,67.8,42.4
KY,Kentucky,56.1,67.4,44.8
LA,Louisiana,66.7,76.8,56.7
ME,Maine,41.7,51.8,31.7
MD,Maryland,55.2,65.6,44.9
MA,Massachusetts,48.9,59.0,38.7
MI,Michigan,45.0,55.1,34.8
MN,Minnesota,42.1,52.4,31.8
MS,Mississippi,64.0,74.8,53.1
MO,Missouri,55.0,65.9,44.0
MT,Montana,42.8,55.3,30.3
NE,Nebraska,49.5,62.2,36.8
NV,Nevada,50.8,63.8,37.7
NH,New Hampshire,44.0,54.8,33.3
NJ,New Jersey,53.2,63.6,42.7
NM,New Mexico,54.5,69.4,39.6
NY,New York,45.7,55.8,35.7
NC,North Carolina,59.4,70.5,48.3
ND,North Dakota,41.0,52.2,29.7
OH,Ohio,51.2,61.8,40.7
OK,Oklahoma,60.0,72.1,47.9
OR,Oregon,47.7,59.3,36.2
PA,Pennsylvania,49.0,59.6,38.4
RI,Rhode Island,50.6,60.0,41.2
SC,South Carolina,63.1,74.3,52.0
SD,South Dakota,45.6,57.5,33.8
TN,Tennessee,58.1,69.3,46.9
TX,Texas,65.7,77.9,53.5
UT,Utah,49.6,62.1,37.0
VT,Vermont,42.9,53.3,32.5
VA,Virginia,56.0,67.3,44.6
WA,Washington,47.6,57.4,37.6
WV,West Virginia,52.5,63.9,41.1
WI,Wisconsin,44.0,54.3,33.8
WY,Wyoming,42.8,56.0,29.6
