ST,STATE,AVG,MAX,MIN
AL,Alabama,63.9,76.0,51.8
AZ,Arizona,60.8,75.7,46.0
AR,Arkansas,62.1,73.8,50.3
CA,California,58.0,70.8,45.2
CO,Colorado,46.6,60.6,32.6
CT,Connecticut,50.6,61.2,39.9
DE,Delaware,56.1,66.4,45.8
FL,Florida,71.0,81.9,60.0
GA,Georgia,64.2,76.2,52.2
ID,Idaho,43.5,55.6,31.3
IL,Illinois,53.7,64.5,42.9
IN,Indiana,53.2,64.3,42.1
IA,Iowa,50.0,60.8,39.2
KS,Kansas,56.1,68.8,43.4
KY,Kentucky,57.0,69.0,44.9
LA,Louisiana,67.7,79.1,56.3
ME,Maine,43.8,54.1,33.5
MD,Maryland,55.4,66.1,44.8
MA,Massachusetts,49.6,60.2,39.0
MI,Michigan,46.5,57.0,36.0
MN,Minnesota,43.9,54.5,33.3
MS,Mississippi,64.8,76.9,52.7
MO,Missouri,56.6,68.0,45.1
MT,Montana,44.0,56.3,31.8
NE,Nebraska,51.2,64.2,38.1
NV,Nevada,50.6,64.8,36.4
NH,New Hampshire,45.2,56.4,34.1
NJ,New Jersey,53.8,64.3,43.3
NM,New Mexico,54.3,70.0,38.6
NY,New York,46.8,57.3,36.2
NC,North Carolina,59.1,70.6,47.8
ND,North Dakota,43.4,54.7,32.1
OH,Ohio,52.1,63.4,40.9
OK,Oklahoma,61.4,73.8,49.0
OR,Oregon,47.0,58.6,35.5
PA,Pennsylvania,49.9,60.8,38.9
RI,Rhode Island,51.5,61.4,41.6
SC,South Carolina,62.9,74.7,51.2
SD,South Dakota,48.1,60.4,35.8
TN,Tennessee,58.9,71.0,46.9
TX,Texas,66.6,79.6,53.7
UT,Utah,49.2,62.5,35.9
VT,Vermont,44.1,55.0,33.3
VA,Virginia,55.9,67.5,44.2
WA,Washington,46.6,56.3,36.9
WV,West Virginia,52.6,64.8,40.4
WI,Wisconsin,45.6,56.3,34.9
WY,Wyoming,43.1,56.3,29.9
