ST,STATE,AVG,MAX,MIN
AL,Alabama,62.1,73.4,50.8
AZ,Arizona,59.4,73.8,45.1
AR,Arkansas,59.1,70.0,48.1
CA,California,58.2,70.6,45.8
CO,Colorado,44.3,57.8,30.8
CT,Connecticut,48.9,58.5,39.2
DE,Delaware,53.8,63.3,44.2
FL,Florida,70.2,80.8,59.5
GA,Georgia,62.8,74.1,51.5
ID,Idaho,43.2,55.3,31.2
IL,Illinois,50.5,60.7,40.3
IN,Indiana,50.1,60.2,40.0
IA,Iowa,46.4,57.0,35.9
KS,Kansas,53.4,66.0,40.8
KY,Kentucky,54.2,64.7,43.8
LA,Louisiana,65.4,75.9,54.8
ME,Maine,41.8,51.2,32.4
MD,Maryland,53.2,62.9,43.5
MA,Massachusetts,47.9,57.6,38.2
MI,Michigan,43.0,52.9,33.2
MN,Minnesota,38.8,49.1,28.6
MS,Mississippi,62.4,73.4,51.4
MO,Missouri,53.3,64.4,42.2
MT,Montana,41.0,53.6,28.4
NE,Nebraska,47.7,60.1,35.3
NV,Nevada,50.4,63.9,36.9
NH,New Hampshire,43.5,53.8,33.2
NJ,New Jersey,51.6,61.2,42.0
NM,New Mexico,52.4,67.5,37.4
NY,New York,44.8,54.6,35.1
NC,North Carolina,57.9,68.8,47.0
ND,North Dakota,38.2,49.7,26.6
OH,Ohio,49.5,59.3,39.6
OK,Oklahoma,58.5,70.5,46.4
OR,Oregon,47.6,58.6,36.6
PA,Pennsylvania,47.7,57.7,37.8
RI,Rhode Island,49.6,58.5,40.8
SC,South Carolina,61.8,73.0,50.6
SD,South Dakota,43.7,56.1,31.3
TN,Tennessee,56.6,67.3,46.0
TX,Texas,63.7,76.0,51.3
UT,Utah,47.6,60.4,34.9
VT,Vermont,42.5,52.7,32.4
VA,Virginia,54.1,64.6,43.5
WA,Washington,46.8,56.8,36.7
WV,West Virginia,50.7,61.1,40.2
WI,Wisconsin,41.3,51.5,31.2
WY,Wyoming,41.0,53.9,28.0
