ST,STATE,AVG,MAX,MIN
AL,Alabama,62.6,74.6,50.5
AZ,Arizona,59.3,72.9,45.6
AR,Arkansas,59.9,70.8,49.0
CA,California,57.9,70.0,45.8
CO,Colorado,43.9,56.7,31.0
CT,Connecticut,48.9,58.9,38.9
DE,Delaware,54.7,64.4,44.9
FL,Florida,69.7,80.8,58.7
GA,Georgia,63.1,75.2,51.0
ID,Idaho,40.5,51.5,29.6
IL,Illinois,51.5,61.5,41.5
IN,Indiana,51.2,61.1,41.3
IA,Iowa,47.5,57.9,37.0
KS,Kansas,53.7,65.8,41.5
KY,Kentucky,55.0,65.7,44.3
LA,Louisiana,66.2,76.9,55.6
ME,Maine,41.2,51.4,31.0
MD,Maryland,54.2,64.0,44.3
MA,Massachusetts,47.8,57.9,37.7
MI,Michigan,44.5,54.4,34.6
MN,Minnesota,41.1,51.6,30.7
MS,Mississippi,63.2,74.6,51.8
MO,Missouri,53.9,64.8,43.1
MT,Montana,40.9,52.8,29.0
NE,Nebraska,48.0,60.0,36.0
NV,Nevada,48.6,61.3,35.9
NH,New Hampshire,43.4,54.3,32.5
NJ,New Jersey,52.2,62.1,42.4
NM,New Mexico,52.4,66.5,38.1
NY,New York,45.2,54.9,35.3
NC,North Carolina,58.4,69.6,47.2
ND,North Dakota,40.5,52.0,29.0
OH,Ohio,50.3,60.3,40.4
OK,Oklahoma,59.2,71.3,47.1
OR,Oregon,45.4,55.8,34.9
PA,Pennsylvania,48.3,58.3,38.2
RI,Rhode Island,49.6,58.7,40.4
SC,South Carolina,62.2,74.2,50.3
SD,South Dakota,44.5,56.5,32.4
TN,Tennessee,57.2,68.5,45.9
TX,Texas,64.7,77.0,52.3
UT,Utah,46.1,58.1,34.1
VT,Vermont,42.4,53.0,31.8
VA,Virginia,54.9,65.7,44.1
WA,Washington,44.9,54.2,35.5
WV,West Virginia,51.4,62.1,40.7
WI,Wisconsin,43.2,53.4,32.9
WY,Wyoming,39.6,52.1,27.1
