ST,STATE,AVG,MAX,MIN
AL,Alabama,63.3,74.7,51.9
AZ,Arizona,60.1,74.3,46.0
AR,Arkansas,60.6,71.8,49.4
CA,California,57.9,70.5,45.3
CO,Colorado,45.0,58.4,31.6
CT,Connecticut,49.1,59.4,38.8
DE,Delaware,55.8,65.9,45.6
FL,Florida,71.2,81.8,60.4
GA,Georgia,64.1,75.5,52.7
ID,Idaho,40.4,52.3,28.4
IL,Illinois,51.4,61.6,41.3
IN,Indiana,51.7,61.9,41.5
IA,Iowa,46.7,57.2,36.2
KS,Kansas,53.7,66.0,41.5
KY,Kentucky,55.7,66.5,44.9
LA,Louisiana,66.9,77.4,56.5
ME,Maine,40.5,51.2,29.9
MD,Maryland,55.1,65.5,44.8
MA,Massachusetts,47.8,58.2,37.4
MI,Michigan,43.7,53.6,33.9
MN,Minnesota,39.3,49.8,28.7
MS,Mississippi,63.8,74.9,52.6
MO,Missouri,54.0,64.8,43.3
MT,Montana,40.3,52.1,28.4
NE,Nebraska,47.8,60.2,35.3
NV,Nevada,49.6,63.2,36.1
NH,New Hampshire,43.0,54.2,31.8
NJ,New Jersey,52.9,63.2,42.7
NM,New Mexico,53.4,68.4,38.5
NY,New York,45.1,55.1,35.1
NC,North Carolina,59.5,70.8,48.2
ND,North Dakota,39.2,50.8,27.6
OH,Ohio,50.9,61.3,40.6
OK,Oklahoma,59.7,71.6,47.7
OR,Oregon,45.3,56.8,33.7
PA,Pennsylvania,48.9,59.4,38.4
RI,Rhode Island,49.8,59.4,40.1
SC,South Carolina,63.3,74.8,51.7
SD,South Dakota,43.7,56.0,31.5
TN,Tennessee,57.9,69.1,46.7
TX,Texas,65.1,77.2,53.0
UT,Utah,47.6,60.1,35.2
VT,Vermont,41.9,52.6,31.2
VA,Virginia,55.7,67.0,44.5
WA,Washington,44.5,54.6,34.5
WV,West Virginia,52.0,63.2,40.9
WI,Wisconsin,41.8,52.3,31.3
WY,Wyoming,40.1,53.2,27.0
