ST,STATE,AVG,MAX,MIN
AL,Alabama,61.9,74.2,49.6
AZ,Arizona,60.4,74.9,45.9
AR,Arkansas,60.3,72.3,48.2
CA,California,58.1,70.6,45.6
CO,Colorado,46.2,60.3,32.0
CT,Connecticut,47.1,57.8,36.4
DE,Delaware,53.6,63.6,43.5
FL,Florida,69.2,80.3,58.1
GA,Georgia,62.4,74.5,50.3
ID,Idaho,43.9,55.1,32.7
IL,Illinois,51.2,61.6,40.8
IN,Indiana,50.1,60.5,39.8
IA,Iowa,48.2,59.4,37.0
KS,Kansas,55.4,68.7,42.2
KY,Kentucky,54.1,65.4,42.8
LA,Louisiana,65.5,76.9,54.1
ME,Maine,38.8,49.1,28.4
MD,Maryland,53.1,63.4,42.7
MA,Massachusetts,45.7,56.4,35.1
MI,Michigan,42.5,52.5,32.6
MN,Minnesota,41.1,52.4,29.7
MS,Mississippi,62.6,74.5,50.6
MO,Missouri,54.9,66.8,43.0
MT,Montana,43.4,55.6,31.3
NE,Nebraska,50.1,63.5,36.7
NV,Nevada,50.5,64.0,37.0
NH,New Hampshire,40.9,52.0,29.7
NJ,New Jersey,51.0,61.5,40.5
NM,New Mexico,53.7,69.2,38.2
NY,New York,42.8,53.1,32.5
NC,North Carolina,57.4,69.0,45.7
ND,North Dakota,42.0,54.2,29.8
OH,Ohio,48.8,58.9,38.7
OK,Oklahoma,60.6,73.6,47.5
OR,Oregon,47.5,58.3,36.7
PA,Pennsylvania,46.8,57.4,36.2
RI,Rhode Island,47.7,57.5,38.0
SC,South Carolina,61.4,73.4,49.3
SD,South Dakota,47.0,60.1,33.9
TN,Tennessee,56.7,68.5,44.8
TX,Texas,64.9,77.6,52.2
UT,Utah,48.6,61.4,35.9
VT,Vermont,39.6,50.6,28.7
VA,Virginia,53.9,65.4,42.5
WA,Washington,47.1,56.2,38.0
WV,West Virginia,49.9,61.0,38.8
WI,Wisconsin,42.3,52.9,31.7
WY,Wyoming,42.9,55.8,30.0
