ST,STATE,AVG,MAX,MIN
AL,Alabama,63.1,75.0,51.2
AZ,Arizona,61.1,75.5,46.6
AR,Arkansas,59.8,70.8,48.8
CA,California,59.4,72.6,46.2
CO,Colorado,45.6,59.6,31.5
CT,Connecticut,49.0,59.1,38.8
DE,Delaware,55.8,66.1,45.5
FL,Florida,70.7,81.5,60.0
GA,Georgia,63.6,75.5,51.7
ID,Idaho,43.0,55.1,30.8
IL,Illinois,50.4,60.5,40.4
IN,Indiana,50.5,60.8,40.2
IA,Iowa,45.6,56.0,35.3
KS,Kansas,53.7,66.2,41.2
KY,Kentucky,55.1,66.5,43.7
LA,Louisiana,66.8,77.7,55.9
ME,Maine,40.7,51.0,30.5
MD,Maryland,54.8,65.0,44.5
MA,Massachusetts,47.9,58.0,37.9
MI,Michigan,43.2,53.4,33.0
MN,Minnesota,38.9,49.7,28.1
MS,Mississippi,63.5,75.0,51.9
MO,Missouri,53.2,63.8,42.6
MT,Montana,41.6,54.1,29.2
NE,Nebraska,48.0,60.7,35.4
NV,Nevada,51.0,65.2,36.8
NH,New Hampshire,43.0,53.8,32.2
NJ,New Jersey,53.0,63.3,42.7
NM,New Mexico,54.1,69.6,38.5
NY,New York,44.9,55.0,34.8
NC,North Carolina,59.2,70.5,47.9
ND,North Dakota,39.0,50.9,27.0
OH,Ohio,49.9,60.3,39.6
OK,Oklahoma,59.5,72.0,46.9
OR,Oregon,47.3,59.2,35.3
PA,Pennsylvania,48.1,58.6,37.6
RI,Rhode Island,50.1,59.5,40.7
SC,South Carolina,63.0,74.7,51.3
SD,South Dakota,43.9,56.0,31.7
TN,Tennessee,57.5,68.9,46.1
TX,Texas,65.7,79.1,52.3
UT,Utah,48.7,62.0,35.4
VT,Vermont,42.2,52.7,31.6
VA,Virginia,55.4,66.6,44.2
WA,Washington,46.0,55.8,36.2
WV,West Virginia,51.5,62.7,40.3
WI,Wisconsin,41.1,51.9,30.2
WY,Wyoming,41.3,54.3,28.2
