ST,STATE,AVG,MAX,MIN
AL,Alabama,61.0,72.5,49.6
AZ,Arizona,59.2,72.3,46.0
AR,Arkansas,58.5,69.4,47.6
CA,California,57.7,68.8,46.5
CO,Colorado,43.7,56.4,30.9
CT,Connecticut,49.0,59.3,38.8
DE,Delaware,54.4,64.3,44.4
FL,Florida,69.3,79.6,58.9
GA,Georgia,62.0,73.5,50.4
ID,Idaho,42.2,52.9,31.5
IL,Illinois,51.4,61.3,41.5
IN,Indiana,51.1,61.4,40.8
IA,Iowa,47.2,56.8,37.5
KS,Kansas,52.8,64.4,41.3
KY,Kentucky,54.6,65.6,43.6
LA,Louisiana,64.1,74.6,53.5
ME,Maine,41.6,51.6,31.6
MD,Maryland,53.7,63.9,43.5
MA,Massachusetts,48.1,58.3,37.9
MI,Michigan,44.0,53.7,34.2
MN,Minnesota,40.8,50.4,31.2
MS,Mississippi,61.4,72.4,50.4
MO,Missouri,53.6,64.3,42.9
MT,Montana,41.6,53.3,29.9
NE,Nebraska,47.5,58.9,36.1
NV,Nevada,49.1,60.8,37.3
NH,New Hampshire,43.6,54.4,32.8
NJ,New Jersey,52.1,62.3,41.9
NM,New Mexico,52.4,66.7,38.1
NY,New York,45.1,55.1,35.1
NC,North Carolina,57.7,69.0,46.5
ND,North Dakota,40.6,51.4,29.9
OH,Ohio,50.4,60.7,40.2
OK,Oklahoma,57.7,69.2,46.1
OR,Oregon,46.5,56.6,36.4
PA,Pennsylvania,48.2,58.5,37.8
RI,Rhode Island,50.0,59.3,40.6
SC,South Carolina,61.4,73.0,49.7
SD,South Dakota,44.5,55.9,33.2
TN,Tennessee,56.3,67.6,45.0
TX,Texas,63.2,75.3,51.0
UT,Utah,47.0,58.3,35.6
VT,Vermont,42.2,52.7,31.7
VA,Virginia,54.2,65.3,43.1
WA,Washington,46.4,55.8,37.0
WV,West Virginia,50.9,62.0,39.7
WI,Wisconsin,42.7,52.3,33.1
WY,Wyoming,40.2,52.2,28.2
