ST,STATE,AVG,MAX,MIN
AL,Alabama,63.5,75.1,51.9
AZ,Arizona,61.4,75.8,47.0
AR,Arkansas,61.7,72.7,50.6
CA,California,59.1,71.7,46.5
CO,Colorado,46.9,60.8,33.0
CT,Connecticut,50.9,61.4,40.3
DE,Delaware,56.7,67.1,46.2
FL,Florida,71.5,82.1,60.8
GA,Georgia,64.3,76.2,52.4
ID,Idaho,44.3,56.4,32.2
IL,Illinois,54.0,64.4,43.6
IN,Indiana,53.8,64.1,43.4
IA,Iowa,49.7,60.1,39.3
KS,Kansas,56.1,68.8,43.4
KY,Kentucky,57.1,68.5,45.6
LA,Louisiana,67.1,77.7,56.6
ME,Maine,43.2,53.8,32.6
MD,Maryland,55.9,66.6,45.2
MA,Massachusetts,49.7,60.2,39.2
MI,Michigan,47.1,56.8,37.4
MN,Minnesota,43.2,53.6,32.9
MS,Mississippi,64.2,75.7,52.8
MO,Missouri,56.3,67.2,45.3
MT,Montana,43.5,56.0,31.0
NE,Nebraska,50.5,62.9,38.0
NV,Nevada,51.6,65.4,37.9
NH,New Hampshire,45.2,56.6,33.9
NJ,New Jersey,54.2,64.8,43.7
NM,New Mexico,54.9,70.1,39.7
NY,New York,47.5,57.6,37.4
NC,North Carolina,59.7,71.4,48.0
ND,North Dakota,42.2,53.7,30.8
OH,Ohio,52.9,63.1,42.7
OK,Oklahoma,61.1,73.1,49.1
OR,Oregon,47.8,59.4,36.1
PA,Pennsylvania,50.5,61.2,39.8
RI,Rhode Island,51.7,61.2,42.0
SC,South Carolina,63.6,75.6,51.6
SD,South Dakota,46.6,58.6,34.6
TN,Tennessee,58.7,70.2,47.3
TX,Texas,66.1,78.1,54.0
UT,Utah,50.0,63.0,37.0
VT,Vermont,44.4,55.2,33.6
VA,Virginia,56.2,68.1,44.4
WA,Washington,47.0,56.6,37.3
WV,West Virginia,53.2,64.7,41.6
WI,Wisconsin,45.7,56.0,35.5
WY,Wyoming,43.1,56.3,29.9
