ST,STATE,AVG,MAX,MIN
AL,Alabama,63.1,74.2,52.0
AZ,Arizona,61.4,75.5,47.3
AR,Arkansas,60.6,71.3,50.0
CA,California,58.9,71.3,46.5
CO,Colorado,46.6,60.6,32.6
CT,Connecticut,47.9,57.7,38.2
DE,Delaware,54.5,63.9,45.1
FL,Florida,71.2,81.6,61.0
GA,Georgia,63.5,74.6,52.4
ID,Idaho,44.6,56.6,32.7
IL,Illinois,51.9,62.2,41.5
IN,Indiana,51.3,61.4,41.2
IA,Iowa,47.8,58.7,36.9
KS,Kansas,54.9,67.5,42.2
KY,Kentucky,55.6,66.1,45.1
LA,Louisiana,66.8,77.2,56.3
ME,Maine,40.2,50.4,30.1
MD,Maryland,53.9,63.3,44.5
MA,Massachusetts,47.0,56.6,37.3
MI,Michigan,43.8,54.0,33.5
MN,Minnesota,41.1,52.0,30.2
MS,Mississippi,63.7,74.6,52.6
MO,Missouri,54.7,65.6,43.9
MT,Montana,42.7,54.9,30.5
NE,Nebraska,49.5,62.3,36.8
NV,Nevada,51.4,64.8,37.9
NH,New Hampshire,42.4,53.0,31.8
NJ,New Jersey,51.7,61.0,42.3
NM,New Mexico,55.2,70.4,40.0
NY,New York,44.4,54.2,34.5
NC,North Carolina,58.9,69.4,48.3
ND,North Dakota,40.2,51.9,28.5
OH,Ohio,50.4,60.1,40.6
OK,Oklahoma,60.0,72.1,47.9
OR,Oregon,48.5,59.9,37.0
PA,Pennsylvania,47.9,57.7,38.1
RI,Rhode Island,48.7,57.7,39.7
SC,South Carolina,62.5,73.4,51.5
SD,South Dakota,45.8,58.0,33.5
TN,Tennessee,57.9,68.6,47.2
TX,Texas,65.7,77.8,53.6
UT,Utah,49.7,62.5,36.9
VT,Vermont,41.3,51.7,30.9
VA,Virginia,55.0,65.3,44.7
WA,Washington,47.6,57.6,37.7
WV,West Virginia,51.8,61.9,41.6
WI,Wisconsin,43.0,53.7,32.2
WY,Wyoming,42.4,55.4,29.6
