ST,STATE,AVG,MAX,MIN
AL,Alabama,62.5,73.6,51.4
AZ,Arizona,60.7,74.8,46.5
AR,Arkansas,60.1,70.7,49.6
CA,California,59.2,71.5,46.8
CO,Colorado,45.1,58.4,31.9
CT,Connecticut,49.2,59.2,39.1
DE,Delaware,55.4,65.5,45.4
FL,Florida,71.2,81.5,60.9
GA,Georgia,63.3,74.5,52.2
ID,Idaho,43.6,55.0,32.1
IL,Illinois,51.8,61.4,42.3
IN,Indiana,51.5,61.1,41.9
IA,Iowa,47.8,57.6,38.1
KS,Kansas,54.0,65.6,42.4
KY,Kentucky,55.2,65.7,44.6
LA,Louisiana,66.4,76.5,56.2
ME,Maine,40.1,50.3,30.0
MD,Maryland,54.6,64.9,44.4
MA,Massachusetts,47.8,57.8,37.9
MI,Michigan,44.1,53.7,34.6
MN,Minnesota,41.4,51.4,31.4
MS,Mississippi,63.2,74.0,52.4
MO,Missouri,54.4,64.6,44.3
MT,Montana,42.6,54.5,30.7
NE,Nebraska,49.1,61.2,37.0
NV,Nevada,50.9,64.2,37.5
NH,New Hampshire,42.8,53.4,32.1
NJ,New Jersey,52.8,63.0,42.5
NM,New Mexico,53.2,67.7,38.7
NY,New York,45.0,54.8,35.2
NC,North Carolina,58.4,69.6,47.2
ND,North Dakota,41.4,52.7,30.2
OH,Ohio,50.8,60.4,41.1
OK,Oklahoma,59.0,70.3,47.8
OR,Oregon,48.0,59.0,36.9
PA,Pennsylvania,48.7,58.8,38.6
RI,Rhode Island,49.9,59.2,40.6
SC,South Carolina,62.3,73.5,51.1
SD,South Dakota,45.5,57.0,34.0
TN,Tennessee,57.3,67.9,46.7
TX,Texas,64.4,76.2,52.6
UT,Utah,48.6,61.1,36.0
VT,Vermont,41.6,52.0,31.1
VA,Virginia,55.0,66.0,43.9
WA,Washington,47.2,56.5,38.0
WV,West Virginia,51.6,62.2,40.9
WI,Wisconsin,43.4,53.0,33.7
WY,Wyoming,41.5,54.1,29.0
