ST,STATE,AVG,MAX,MIN
AL,Alabama,62.6,74.1,51.0
AZ,Arizona,62.1,76.1,48.1
AR,Arkansas,58.9,69.4,48.5
CA,California,61.3,73.9,48.7
CO,Colorado,46.3,59.8,32.8
CT,Connecticut,48.7,58.6,38.7
DE,Delaware,54.9,64.5,45.2
FL,Florida,71.0,81.4,60.5
GA,Georgia,63.4,75.0,51.8
ID,Idaho,45.2,56.8,33.6
IL,Illinois,50.0,59.8,40.2
IN,Indiana,49.9,59.9,39.9
IA,Iowa,46.1,56.1,36.0
KS,Kansas,53.9,66.5,41.2
KY,Kentucky,54.8,65.6,44.0
LA,Louisiana,65.4,75.6,55.2
ME,Maine,41.0,51.2,30.8
MD,Maryland,53.8,63.7,44.0
MA,Massachusetts,47.6,57.7,37.6
MI,Michigan,42.2,52.0,32.5
MN,Minnesota,39.6,49.4,29.7
MS,Mississippi,62.8,73.8,51.7
MO,Missouri,53.3,64.0,42.7
MT,Montana,41.9,53.8,30.1
NE,Nebraska,48.2,60.9,35.4
NV,Nevada,53.1,66.6,39.5
NH,New Hampshire,42.9,53.5,32.2
NJ,New Jersey,52.1,62.0,42.2
NM,New Mexico,54.7,69.4,40.1
NY,New York,44.4,54.3,34.6
NC,North Carolina,58.7,69.5,47.9
ND,North Dakota,39.6,50.4,28.8
OH,Ohio,49.6,59.6,39.6
OK,Oklahoma,59.0,71.0,47.1
OR,Oregon,49.7,61.1,38.3
PA,Pennsylvania,47.7,57.8,37.5
RI,Rhode Island,49.7,59.1,40.3
SC,South Carolina,62.6,73.9,51.2
SD,South Dakota,44.0,55.9,32.2
TN,Tennessee,57.1,67.8,46.4
TX,Texas,64.8,76.8,52.8
UT,Utah,50.6,63.2,37.9
VT,Vermont,41.8,52.2,31.3
VA,Virginia,54.8,65.4,44.2
WA,Washington,48.5,58.0,38.9
WV,West Virginia,51.2,61.9,40.6
WI,Wisconsin,41.0,50.8,31.2
WY,Wyoming,42.3,55.0,29.6
