ST,STATE,AVG,MAX,MIN
AL,Alabama,62.3,74.5,50
AZ,Arizona,60.9,74.9,47
AR,Arkansas,60,71.2,48.8
CA,California,58.8,71.1,46.5
CO,Colorado,46.5,60.1,33
CT,Connecticut,48.4,58.7,38.1
DE,Delaware,53.5,63.5,43.5
FL,Florida,69.9,81.6,58.3
GA,Georgia,62.6,74.8,50.4
ID,Idaho,43.6,55.3,32
IL,Illinois,51,61.3,40.8
IN,Indiana,50.4,60.7,40.1
IA,Iowa,47.7,58.6,36.8
KS,Kansas,55,67.4,42.6
KY,Kentucky,54.4,65.5,43.2
LA,Louisiana,66.4,77.5,55.4
ME,Maine,41.6,51.4,31.9
MD,Maryland,53,63.2,42.8
MA,Massachusetts,47.3,57.5,37.1
MI,Michigan,43.6,53.6,33.7
MN,Minnesota,41.1,51.7,30.4
MS,Mississippi,63.4,75.2,51.5
MO,Missouri,54.2,65.2,43.2
MT,Montana,42.3,54.7,29.9
NE,Nebraska,49.3,62,36.5
NV,Nevada,51.2,64.6,37.7
NH,New Hampshire,43.1,53.8,32.5
NJ,New Jersey,51.4,61.5,41.2
NM,New Mexico,54.2,69.1,39.3
NY,New York,44.7,54.4,34.9
NC,North Carolina,57.2,68.9,45.6
ND,North Dakota,41.2,53.2,29.2
OH,Ohio,49.5,59.6,39.3
OK,Oklahoma,60.1,72.1,48.2
OR,Oregon,47.3,58.4,36.1
PA,Pennsylvania,47.4,57.7,37.2
RI,Rhode Island,49,58.5,39.4
SC,South Carolina,61.3,73.5,49.1
SD,South Dakota,45.8,58.6,33
TN,Tennessee,56.7,68.2,45.2
TX,Texas,65,77.1,52.9
UT,Utah,49.5,62,36.9
VT,Vermont,42.2,52.6,31.8
VA,Virginia,53.6,64.9,42.3
WA,Washington,46.6,56.3,36.9
WV,West Virginia,50.1,61.4,38.8
WI,Wisconsin,42.5,53,32
WY,Wyoming,42.8,55.8,29.9
