ST,STATE,AVG,MAX,MIN
AL,Alabama,61.7,73.2,50.2
AZ,Arizona,59.8,74.1,45.4
AR,Arkansas,59.1,69.6,48.5
CA,California,58.0,70.4,45.6
CO,Colorado,44.1,57.4,30.8
CT,Connecticut,47.8,58.3,37.2
DE,Delaware,54.0,63.9,44.1
FL,Florida,69.7,80.6,58.9
GA,Georgia,62.6,74.3,50.8
ID,Idaho,41.7,52.9,30.5
IL,Illinois,50.2,59.4,41.0
IN,Indiana,49.9,59.4,40.5
IA,Iowa,45.1,54.2,35.9
KS,Kansas,52.3,63.7,40.8
KY,Kentucky,54.1,64.7,43.5
LA,Louisiana,65.3,75.8,54.8
ME,Maine,39.0,50.0,28.1
MD,Maryland,53.3,63.4,43.2
MA,Massachusetts,46.4,57.0,35.9
MI,Michigan,42.3,51.9,32.6
MN,Minnesota,38.0,48.0,28.1
MS,Mississippi,62.2,73.1,51.2
MO,Missouri,52.7,62.6,42.8
MT,Montana,40.4,51.7,29.0
NE,Nebraska,46.3,57.6,34.9
NV,Nevada,49.3,62.6,36.0
NH,New Hampshire,41.5,53.0,30.0
NJ,New Jersey,51.3,61.5,41.0
NM,New Mexico,53.0,68.3,37.7
NY,New York,43.0,53.4,32.7
NC,North Carolina,58.1,69.4,46.9
ND,North Dakota,37.6,48.6,26.7
OH,Ohio,49.4,59.1,39.6
OK,Oklahoma,58.2,69.7,46.6
OR,Oregon,46.3,57.3,35.4
PA,Pennsylvania,47.2,57.6,36.8
RI,Rhode Island,48.6,58.3,38.9
SC,South Carolina,62.0,73.6,50.4
SD,South Dakota,42.0,53.1,31.0
TN,Tennessee,56.4,67.4,45.5
TX,Texas,64.2,76.4,51.9
UT,Utah,47.3,59.8,34.7
VT,Vermont,40.0,51.1,29.0
VA,Virginia,54.3,65.3,43.3
WA,Washington,46.6,55.9,37.3
WV,West Virginia,50.8,61.6,40.0
WI,Wisconsin,40.8,50.5,31.1
WY,Wyoming,39.5,51.8,27.2
