ST,STATE,AVG,MAX,MIN
AL,Alabama,63.0,74.2,51.8
AZ,Arizona,61.7,76.6,46.8
AR,Arkansas,60.1,70.6,49.6
CA,California,59.5,72.6,46.3
CO,Colorado,46.6,61.0,32.1
CT,Connecticut,49.5,59.7,39.2
DE,Delaware,56.3,66.5,46.1
FL,Florida,70.7,81.4,60.1
GA,Georgia,63.9,75.2,52.5
ID,Idaho,43.6,55.6,31.7
IL,Illinois,52.3,62.4,42.2
IN,Indiana,52.1,62.1,42.0
IA,Iowa,48.4,59.1,37.6
KS,Kansas,55.0,67.8,42.2
KY,Kentucky,56.0,66.6,45.5
LA,Louisiana,66.2,76.2,56.1
ME,Maine,40.7,50.9,30.6
MD,Maryland,55.4,65.7,45.1
MA,Massachusetts,48.2,58.4,38.0
MI,Michigan,44.8,54.6,35.1
MN,Minnesota,41.4,51.5,31.3
MS,Mississippi,63.4,74.3,52.5
MO,Missouri,54.7,65.6,43.7
MT,Montana,41.6,53.8,29.4
NE,Nebraska,49.8,62.9,36.7
NV,Nevada,51.6,66.0,37.2
NH,New Hampshire,43.3,54.1,32.4
NJ,New Jersey,53.4,63.7,43.2
NM,New Mexico,54.7,70.1,39.3
NY,New York,45.6,55.6,35.6
NC,North Carolina,59.5,70.5,48.4
ND,North Dakota,40.5,51.8,29.1
OH,Ohio,51.5,61.4,41.5
OK,Oklahoma,59.2,70.8,47.5
OR,Oregon,48.3,60.4,36.2
PA,Pennsylvania,49.3,59.6,38.9
RI,Rhode Island,50.2,59.7,40.8
SC,South Carolina,63.2,74.6,51.9
SD,South Dakota,45.9,58.3,33.4
TN,Tennessee,58.0,68.8,47.3
TX,Texas,64.8,76.7,52.9
UT,Utah,49.6,63.0,36.1
VT,Vermont,42.3,52.7,31.8
VA,Virginia,55.9,67.0,44.8
WA,Washington,47.2,57.1,37.3
WV,West Virginia,52.4,63.2,41.6
WI,Wisconsin,43.7,53.7,33.8
WY,Wyoming,42.0,55.3,28.8
