ST,STATE,AVG,MAX,MIN
AL,Alabama,63.8,76.1,51.5
AZ,Arizona,60.7,75.1,46.3
AR,Arkansas,61.4,72.7,50.0
CA,California,58.4,71.2,45.5
CO,Colorado,45.6,59.6,31.7
CT,Connecticut,50.9,60.8,41.0
DE,Delaware,57.2,67.2,47.1
FL,Florida,71.4,82.4,60.5
GA,Georgia,64.3,76.4,52.3
ID,Idaho,43.6,55.9,31.3
IL,Illinois,53.4,63.4,43.3
IN,Indiana,52.8,62.7,43.0
IA,Iowa,49.5,60.0,39.0
KS,Kansas,55.7,68.7,42.7
KY,Kentucky,56.4,67.2,45.6
LA,Louisiana,67.3,78.1,56.4
ME,Maine,43.5,53.1,34.0
MD,Maryland,56.3,66.5,46.1
MA,Massachusetts,49.9,59.5,40.2
MI,Michigan,46.5,56.2,36.8
MN,Minnesota,43.6,54.1,33.1
MS,Mississippi,64.3,76.2,52.4
MO,Missouri,56.0,67.1,44.8
MT,Montana,43.6,56.1,31.0
NE,Nebraska,49.8,62.8,36.8
NV,Nevada,50.2,64.3,36.2
NH,New Hampshire,45.4,55.4,35.3
NJ,New Jersey,54.8,64.9,44.8
NM,New Mexico,54.1,69.0,39.3
NY,New York,47.2,56.7,37.8
NC,North Carolina,59.6,71.0,48.2
ND,North Dakota,42.8,54.9,30.8
OH,Ohio,52.2,62.0,42.5
OK,Oklahoma,61.2,73.7,48.6
OR,Oregon,47.5,59.6,35.5
PA,Pennsylvania,50.4,60.5,40.3
RI,Rhode Island,51.6,60.6,42.5
SC,South Carolina,63.4,75.2,51.6
SD,South Dakota,47.1,59.7,34.5
TN,Tennessee,58.5,69.8,47.2
TX,Texas,66.2,78.8,53.7
UT,Utah,48.5,61.7,35.4
VT,Vermont,44.5,54.1,34.9
VA,Virginia,56.4,67.7,45.0
WA,Washington,46.9,57.1,36.7
WV,West Virginia,52.7,63.6,41.8
WI,Wisconsin,45.4,55.6,35.2
WY,Wyoming,42.3,55.6,29.0
