ST,STATE,AVG,MAX,MIN
AL,Alabama,65.3,76.6,53.9
AZ,Arizona,59.4,73.5,45.3
AR,Arkansas,63.0,73.7,52.2
CA,California,56.7,68.4,45.0
CO,Colorado,46.4,59.8,33.0
CT,Connecticut,51.1,61.3,40.9
DE,Delaware,57.1,67.3,46.9
FL,Florida,72.5,83.0,62.0
GA,Georgia,65.7,77.2,54.3
ID,Idaho,44.3,55.4,33.1
IL,Illinois,54.7,64.2,45.1
IN,Indiana,54.3,64.4,44.2
IA,Iowa,50.4,59.9,40.9
KS,Kansas,56.2,68.1,44.4
KY,Kentucky,57.9,68.7,47.1
LA,Louisiana,68.7,79.0,58.4
ME,Maine,43.2,53.3,33.1
MD,Maryland,56.7,67.0,46.3
MA,Massachusetts,49.9,60.0,39.9
MI,Michigan,47.7,57.8,37.5
MN,Minnesota,44.4,54.4,34.3
MS,Mississippi,65.9,76.9,54.9
MO,Missouri,56.8,66.8,46.8
MT,Montana,44.1,55.9,32.3
NE,Nebraska,50.6,62.4,38.7
NV,Nevada,49.1,61.8,36.5
NH,New Hampshire,45.6,56.4,34.9
NJ,New Jersey,54.7,64.9,44.5
NM,New Mexico,54.4,69.4,39.3
NY,New York,47.8,57.6,37.9
NC,North Carolina,60.9,72.0,49.7
ND,North Dakota,42.9,53.6,32.3
OH,Ohio,53.5,63.6,43.3
OK,Oklahoma,62.0,73.8,50.2
OR,Oregon,47.7,58.5,37.0
PA,Pennsylvania,51.1,61.5,40.8
RI,Rhode Island,51.6,61.0,42.2
SC,South Carolina,64.8,76.3,53.3
SD,South Dakota,47.3,58.5,36.0
TN,Tennessee,60.1,70.9,49.3
TX,Texas,67.0,79.3,54.7
UT,Utah,48.3,60.5,36.1
VT,Vermont,44.8,55.0,34.5
VA,Virginia,57.3,68.6,46.1
WA,Washington,48.8,58.3,39.2
WV,West Virginia,54.0,64.9,43.0
WI,Wisconsin,46.6,56.9,36.4
WY,Wyoming,42.7,55.0,30.5
