ST,STATE,AVG,MAX,MIN
AL,Alabama,62.1,73.4,50.8
AZ,Arizona,58.0,72.7,43.4
AR,Arkansas,59.5,70.5,48.5
CA,California,56.4,69.0,43.9
CO,Colorado,43.6,57.6,29.5
CT,Connecticut,48.3,58.2,38.4
DE,Delaware,54.6,64.3,44.9
FL,Florida,70.5,81.4,59.6
GA,Georgia,63.0,74.5,51.6
ID,Idaho,41.4,52.2,30.6
IL,Illinois,51.4,61.3,41.6
IN,Indiana,51.3,61.3,41.4
IA,Iowa,47.4,57.9,36.8
KS,Kansas,53.6,66.3,41.0
KY,Kentucky,55.1,65.7,44.5
LA,Louisiana,65.5,76.2,54.9
ME,Maine,40.3,50.9,29.7
MD,Maryland,54.0,63.7,44.3
MA,Massachusetts,47.3,57.4,37.2
MI,Michigan,44.0,54.0,34.0
MN,Minnesota,39.8,50.4,29.2
MS,Mississippi,62.7,73.8,51.6
MO,Missouri,54.3,65.2,43.3
MT,Montana,39.5,50.7,28.2
NE,Nebraska,47.6,60.2,34.9
NV,Nevada,48.5,61.7,35.3
NH,New Hampshire,42.6,53.7,31.5
NJ,New Jersey,52.1,61.7,42.4
NM,New Mexico,51.4,67.0,35.8
NY,New York,44.6,54.5,34.7
NC,North Carolina,58.8,70.0,47.6
ND,North Dakota,39.3,50.2,28.3
OH,Ohio,50.5,60.4,40.5
OK,Oklahoma,58.5,70.7,46.4
OR,Oregon,46.0,56.6,35.3
PA,Pennsylvania,48.2,58.2,38.2
RI,Rhode Island,49.1,58.3,40.0
SC,South Carolina,62.5,73.9,51.2
SD,South Dakota,43.8,55.8,31.8
TN,Tennessee,57.1,68.2,46.1
TX,Texas,63.5,76.4,50.7
UT,Utah,45.9,58.4,33.3
VT,Vermont,41.6,52.4,30.8
VA,Virginia,54.9,65.7,44.1
WA,Washington,45.5,54.9,36.0
WV,West Virginia,51.7,62.4,41.1
WI,Wisconsin,42.2,52.8,31.5
WY,Wyoming,39.5,52.1,26.9
