ST,STATE,AVG,MAX,MIN
AL,Alabama,63.1,75.6,50.7
AZ,Arizona,61.2,75.4,47.0
AR,Arkansas,60.5,71.6,49.4
CA,California,58.5,71.1,45.9
CO,Colorado,46.6,60.7,32.6
CT,Connecticut,48.6,58.7,38.5
DE,Delaware,54.7,64.7,44.8
FL,Florida,70.1,81.7,58.5
GA,Georgia,63.1,75.5,50.8
ID,Idaho,43.7,55.7,31.7
IL,Illinois,52.1,62.2,41.9
IN,Indiana,51.6,61.8,41.3
IA,Iowa,48.6,59.1,38.0
KS,Kansas,55.3,68.0,42.7
KY,Kentucky,55.5,66.6,44.3
LA,Louisiana,66.7,77.7,55.6
ME,Maine,40.9,51.0,30.9
MD,Maryland,54.1,64.3,44.0
MA,Massachusetts,47.6,57.5,37.7
MI,Michigan,45.4,55.2,35.4
MN,Minnesota,42.3,52.8,31.8
MS,Mississippi,63.7,75.8,51.6
MO,Missouri,54.8,65.7,44.0
MT,Montana,42.6,55.0,30.1
NE,Nebraska,49.8,62.7,36.9
NV,Nevada,51.0,64.8,37.3
NH,New Hampshire,43.1,53.7,32.5
NJ,New Jersey,52.2,62.1,42.2
NM,New Mexico,54.6,69.7,39.5
NY,New York,45.1,54.8,35.6
NC,North Carolina,58.4,69.9,47.0
ND,North Dakota,41.5,52.9,30.0
OH,Ohio,50.9,60.9,40.9
OK,Oklahoma,59.9,71.8,48.1
OR,Oregon,47.4,58.9,35.9
PA,Pennsylvania,48.5,58.7,38.3
RI,Rhode Island,49.6,58.8,40.3
SC,South Carolina,62.2,74.3,50.1
SD,South Dakota,46.1,58.4,33.7
TN,Tennessee,57.7,69.2,46.2
TX,Texas,65.9,78.0,53.8
UT,Utah,49.8,62.5,37.0
VT,Vermont,42.0,52.1,32.0
VA,Virginia,54.9,66.2,43.7
WA,Washington,46.3,55.9,36.7
WV,West Virginia,51.8,62.8,40.8
WI,Wisconsin,44.2,54.5,33.9
WY,Wyoming,42.3,55.6,29.0
