ST,STATE,AVG,MAX,MIN
AL,Alabama,64.6,75.4,53.8
AZ,Arizona,61.5,75.2,47.7
AR,Arkansas,61.5,71.9,51.1
CA,California,60.4,72.9,47.9
CO,Colorado,47.1,60.5,33.8
CT,Connecticut,50.4,61.0,39.8
DE,Delaware,56.6,66.5,46.7
FL,Florida,73.2,82.9,63.5
GA,Georgia,65.3,75.9,54.6
ID,Idaho,46.1,58.0,34.2
IL,Illinois,53.0,63.0,43.0
IN,Indiana,52.5,62.7,42.3
IA,Iowa,49.1,59.1,39.1
KS,Kansas,56.3,68.5,44.0
KY,Kentucky,56.5,67.4,45.6
LA,Louisiana,68.2,78.3,58.2
ME,Maine,41.9,52.1,31.7
MD,Maryland,55.6,65.8,45.4
MA,Massachusetts,49.0,59.7,38.4
MI,Michigan,45.6,55.6,35.6
MN,Minnesota,43.4,53.7,33.2
MS,Mississippi,65.3,76.0,54.5
MO,Missouri,55.8,66.2,45.4
MT,Montana,44.8,57.1,32.4
NE,Nebraska,50.7,63.0,38.4
NV,Nevada,52.3,65.6,39.1
NH,New Hampshire,44.3,55.5,33.2
NJ,New Jersey,54.1,64.5,43.8
NM,New Mexico,54.8,69.2,40.5
NY,New York,46.3,56.7,35.9
NC,North Carolina,60.4,70.9,50.0
ND,North Dakota,43.3,54.9,31.6
OH,Ohio,51.8,62.1,41.5
OK,Oklahoma,60.9,72.4,49.3
OR,Oregon,49.9,61.6,38.2
PA,Pennsylvania,49.7,60.3,39.1
RI,Rhode Island,50.9,60.7,41.1
SC,South Carolina,64.4,75.2,53.6
SD,South Dakota,47.3,59.5,35.1
TN,Tennessee,58.9,69.6,48.2
TX,Texas,66.0,77.7,54.3
UT,Utah,50.3,62.8,37.8
VT,Vermont,43.4,54.3,32.5
VA,Virginia,56.5,67.1,45.8
WA,Washington,49.8,59.8,39.8
WV,West Virginia,53.0,64.1,41.9
WI,Wisconsin,44.9,55.0,34.7
WY,Wyoming,43.9,56.7,31.1
