ST,STATE,AVG,MAX,MIN
AL,Alabama,62.8,74.7,50.8
AZ,Arizona,60.3,74.4,46.3
AR,Arkansas,61.3,72.5,50.0
CA,California,57.7,69.9,45.5
CO,Colorado,46.0,59.8,32.1
CT,Connecticut,51.0,61.0,41.0
DE,Delaware,56.4,66.2,46.6
FL,Florida,69.4,80.3,58.5
GA,Georgia,63.0,74.9,51.0
ID,Idaho,43.0,54.4,31.5
IL,Illinois,53.0,63.3,42.7
IN,Indiana,52.6,63.2,42.0
IA,Iowa,48.3,58.6,38.0
KS,Kansas,55.3,67.6,43.0
KY,Kentucky,56.0,67.1,44.9
LA,Louisiana,66.6,77.4,55.7
ME,Maine,44.3,53.7,34.8
MD,Maryland,55.6,65.7,45.6
MA,Massachusetts,50.1,60.0,40.1
MI,Michigan,46.7,56.6,36.8
MN,Minnesota,42.5,53.0,32.1
MS,Mississippi,63.6,75.4,51.9
MO,Missouri,55.3,66.0,44.6
MT,Montana,41.4,53.2,29.7
NE,Nebraska,49.2,61.3,37.0
NV,Nevada,50.0,63.2,36.9
NH,New Hampshire,45.6,55.9,35.3
NJ,New Jersey,54.3,64.4,44.3
NM,New Mexico,54.2,69.3,39.1
NY,New York,47.0,56.6,37.4
NC,North Carolina,59.0,70.2,47.8
ND,North Dakota,40.6,51.2,30.0
OH,Ohio,51.6,61.9,41.3
OK,Oklahoma,60.3,72.2,48.4
OR,Oregon,46.9,57.9,35.8
PA,Pennsylvania,49.8,60.1,39.5
RI,Rhode Island,51.7,61.0,42.4
SC,South Carolina,62.6,74.3,50.8
SD,South Dakota,45.0,56.3,33.7
TN,Tennessee,58.0,69.3,46.8
TX,Texas,65.2,77.6,52.7
UT,Utah,48.2,60.8,35.6
VT,Vermont,44.5,54.3,34.8
VA,Virginia,55.9,67.0,44.8
WA,Washington,46.7,55.9,37.5
WV,West Virginia,52.0,62.9,41.1
WI,Wisconsin,45.2,55.6,34.8
WY,Wyoming,41.8,54.6,29.0
