ST,STATE,AVG,MAX,MIN
AL,Alabama,64.1,75.5,52.6
AZ,Arizona,59.9,73.6,46.3
AR,Arkansas,61.3,71.9,50.6
CA,California,58.3,70.6,45.9
CO,Colorado,45.7,59.0,32.5
CT,Connecticut,48.3,58.5,38.2
DE,Delaware,54.9,64.9,45.0
FL,Florida,71.4,82.1,60.8
GA,Georgia,65.0,76.5,53.5
ID,Idaho,43.7,55.3,32.1
IL,Illinois,52.7,62.5,42.9
IN,Indiana,52.3,62.0,42.6
IA,Iowa,48.7,58.5,38.8
KS,Kansas,55.6,67.7,43.6
KY,Kentucky,56.6,67.1,46.1
LA,Louisiana,67.1,77.3,56.9
ME,Maine,39.8,50.3,29.2
MD,Maryland,54.5,64.6,44.4
MA,Massachusetts,46.9,57.1,36.8
MI,Michigan,44.7,54.4,35.1
MN,Minnesota,41.8,52.0,31.5
MS,Mississippi,64.4,75.5,53.4
MO,Missouri,55.6,66.0,45.2
MT,Montana,42.6,54.3,30.9
NE,Nebraska,50.0,62.2,37.8
NV,Nevada,50.6,64.1,37.1
NH,New Hampshire,42.5,53.2,31.8
NJ,New Jersey,52.2,62.2,42.1
NM,New Mexico,53.0,67.0,39.0
NY,New York,45.0,54.6,35.5
NC,North Carolina,59.8,70.7,48.9
ND,North Dakota,41.8,52.9,30.7
OH,Ohio,51.7,61.3,42.0
OK,Oklahoma,60.2,71.3,49.1
OR,Oregon,47.6,58.8,36.4
PA,Pennsylvania,48.7,58.6,38.8
RI,Rhode Island,48.8,58.1,39.4
SC,South Carolina,64.1,75.6,52.7
SD,South Dakota,46.0,57.5,34.5
TN,Tennessee,58.8,69.7,48.0
TX,Texas,65.2,76.7,53.7
UT,Utah,48.7,61.0,36.4
VT,Vermont,41.7,52.2,31.3
VA,Virginia,55.6,66.4,44.8
WA,Washington,47.0,56.6,37.5
WV,West Virginia,52.4,62.9,41.8
WI,Wisconsin,43.7,53.7,33.7
WY,Wyoming,41.9,54.4,29.3
