ST,STATE,AVG,MAX,MIN
AL,Alabama,64.1,76.5,51.7
AZ,Arizona,61.7,75.9,47.4
AR,Arkansas,61.7,72.6,50.8
CA,California,58.9,71.7,46.1
CO,Colorado,46.3,60.1,32.5
CT,Connecticut,49.4,59.7,39.0
DE,Delaware,56.0,66.1,45.9
FL,Florida,71.5,82.2,60.7
GA,Georgia,64.4,76.7,52.2
ID,Idaho,44.7,56.9,32.5
IL,Illinois,53.4,64.0,42.8
IN,Indiana,52.9,63.6,42.2
IA,Iowa,48.5,58.6,38.3
KS,Kansas,55.3,67.3,43.3
KY,Kentucky,57.3,69.1,45.6
LA,Louisiana,67.3,77.7,56.8
ME,Maine,40.8,51.2,30.4
MD,Maryland,55.5,65.8,45.1
MA,Massachusetts,48.2,58.4,37.9
MI,Michigan,46.0,56.1,35.8
MN,Minnesota,41.9,52.3,31.5
MS,Mississippi,64.7,76.5,52.9
MO,Missouri,56.1,67.0,45.2
MT,Montana,43.7,56.2,31.2
NE,Nebraska,49.9,62.2,37.7
NV,Nevada,51.5,65.6,37.5
NH,New Hampshire,43.2,54.0,32.3
NJ,New Jersey,53.4,63.5,43.3
NM,New Mexico,54.4,69.4,39.2
NY,New York,45.7,55.9,35.5
NC,North Carolina,60.1,72.0,48.2
ND,North Dakota,41.4,53.1,29.7
OH,Ohio,51.9,62.4,41.4
OK,Oklahoma,60.3,71.6,49.0
OR,Oregon,47.6,59.5,35.8
PA,Pennsylvania,49.3,59.9,38.8
RI,Rhode Island,50.2,59.8,40.6
SC,South Carolina,63.9,76.1,51.8
SD,South Dakota,46.5,58.6,34.4
TN,Tennessee,59.6,71.6,47.7
TX,Texas,65.1,77.0,53.2
UT,Utah,49.9,63.2,36.6
VT,Vermont,42.3,52.8,31.8
VA,Virginia,56.5,68.0,44.9
WA,Washington,46.7,56.4,37.0
WV,West Virginia,52.9,64.5,41.4
WI,Wisconsin,44.3,54.7,33.8
WY,Wyoming,43.3,56.4,30.1
