ST,STATE,AVG,MAX,MIN
AL,Alabama,61.5,72.5,50.6
AZ,Arizona,61.1,75.4,46.8
AR,Arkansas,59.1,69.9,48.2
CA,California,60.0,73.4,46.6
CO,Colorado,45.4,59.2,31.6
CT,Connecticut,49.3,59.2,39.5
DE,Delaware,55.2,64.8,45.7
FL,Florida,70.9,81.0,60.8
GA,Georgia,62.4,73.1,51.6
ID,Idaho,44.3,56.4,32.3
IL,Illinois,50.3,60.3,40.2
IN,Indiana,50.3,60.3,40.3
IA,Iowa,46.0,56.4,35.6
KS,Kansas,53.5,66.2,40.8
KY,Kentucky,54.2,64.8,43.6
LA,Louisiana,65.5,76.0,55.0
ME,Maine,41.8,51.6,32.1
MD,Maryland,54.0,63.7,44.3
MA,Massachusetts,48.4,58.4,38.4
MI,Michigan,43.2,52.8,33.5
MN,Minnesota,38.6,48.9,28.2
MS,Mississippi,62.2,73.3,51.1
MO,Missouri,52.9,63.7,42.2
MT,Montana,42.6,54.6,30.6
NE,Nebraska,48.4,61.0,35.9
NV,Nevada,51.4,65.4,37.4
NH,New Hampshire,43.9,54.4,33.3
NJ,New Jersey,52.6,62.3,42.8
NM,New Mexico,54.0,69.2,38.9
NY,New York,45.1,54.9,35.4
NC,North Carolina,57.8,68.3,47.3
ND,North Dakota,38.6,49.5,27.6
OH,Ohio,50.0,59.7,40.2
OK,Oklahoma,58.5,70.6,46.4
OR,Oregon,48.2,60.1,36.3
PA,Pennsylvania,48.2,58.2,38.2
RI,Rhode Island,50.3,59.6,40.9
SC,South Carolina,61.4,72.2,50.7
SD,South Dakota,44.0,55.7,32.2
TN,Tennessee,56.2,66.7,45.7
TX,Texas,64.8,77.6,52.1
UT,Utah,48.6,61.4,35.9
VT,Vermont,42.9,53.0,32.8
VA,Virginia,54.4,64.8,43.9
WA,Washington,47.6,57.2,37.9
WV,West Virginia,50.9,61.3,40.5
WI,Wisconsin,40.9,51.1,30.7
WY,Wyoming,42.0,54.7,29.2
