ST,STATE,AVG,MAX,MIN
AL,Alabama,63.7,74.6,52.8
AZ,Arizona,60.6,74.3,46.9
AR,Arkansas,61.3,71.5,51.2
CA,California,58.9,71.4,46.4
CO,Colorado,46.2,59.6,32.7
CT,Connecticut,49.2,59.1,39.3
DE,Delaware,56.3,65.8,46.8
FL,Florida,71.1,81.5,60.7
GA,Georgia,64.4,75.4,53.3
ID,Idaho,44.5,56.0,32.9
IL,Illinois,52.9,62.9,43.0
IN,Indiana,52.7,62.6,42.8
IA,Iowa,48.6,58.8,38.4
KS,Kansas,55.0,66.9,43.1
KY,Kentucky,57.0,67.4,46.5
LA,Louisiana,67.5,77.4,57.6
ME,Maine,40.9,51.2,30.5
MD,Maryland,55.7,65.2,46.1
MA,Massachusetts,48.1,57.9,38.3
MI,Michigan,44.9,54.9,34.9
MN,Minnesota,41.5,51.9,31.1
MS,Mississippi,64.4,75.1,53.8
MO,Missouri,55.3,65.5,45.0
MT,Montana,42.9,55.0,30.8
NE,Nebraska,49.7,62.2,37.3
NV,Nevada,51.0,64.0,38.0
NH,New Hampshire,43.5,54.2,32.7
NJ,New Jersey,53.5,63.0,43.9
NM,New Mexico,53.8,68.1,39.5
NY,New York,45.6,55.4,35.8
NC,North Carolina,59.8,70.3,49.2
ND,North Dakota,40.8,52.3,29.2
OH,Ohio,51.8,61.6,42.1
OK,Oklahoma,60.2,71.4,49.0
OR,Oregon,48.6,60.0,37.2
PA,Pennsylvania,49.6,59.4,39.7
RI,Rhode Island,49.8,59.0,40.7
SC,South Carolina,63.6,74.5,52.6
SD,South Dakota,46.4,58.6,34.1
TN,Tennessee,59.0,69.4,48.6
TX,Texas,65.4,76.7,54.1
UT,Utah,49.4,61.7,37.1
VT,Vermont,42.4,53.0,31.8
VA,Virginia,56.3,66.7,46.0
WA,Washington,48.5,58.3,38.8
WV,West Virginia,53.3,63.7,42.9
WI,Wisconsin,43.8,54.1,33.5
WY,Wyoming,42.7,55.3,30.1
